code,涨停原因类别[20260305],股票代码,market_code
603001,皮鞋+智能制造,603001.SH,17
600599,,600599.SH,22
002569,扭亏预告+宝鸡国资+男装品牌,002569.SZ,33
002986,顺酐扩产+员工持股+LPG深加工,002986.SZ,33
600666,算力租赁+文生视频+年报预增,600666.SH,17
000638,,000638.SZ,33
002235,控制权变更+防伪溯源+彩票印制+福建,002235.SZ,33
000711,复牌+金属铟+ITO靶材,000711.SZ,33
688055,光学光电子+Mini LED+电子纸+国企改革,688055.SH,17
600703,Micro LED+光芯片+碳化硅+商业航天,600703.SH,17
002456,光学龙头+人形机器人+3D ToF+重组,002456.SZ,33
920001,偏光片+产能释放+国企,920001.BJ,151
002877,智能控制阀+国产化替代+新能源+新型工业化,002877.SZ,33
600800,丙烯酸酯投产+芯片概念+天津国资+新材料,600800.SH,17
000908,重整除权+创新药CDMO+合成生物,000908.SZ,33
600468,电网设备+可控核聚变+天津国资,600468.SH,17
002983,AI眼镜+车载显示+MiniLED,002983.SZ,33
300895,算力租赁+北京国资+IDC,300895.SZ,33
002713,重整完成+算力中心+家装AI,002713.SZ,33
002471,电网设备+商业航天+高温合金,002471.SZ,33
002796,CPO光模块+增资光彩芯辰+精密箱体,002796.SZ,33
002868,ST保壳+动保兽药+资产剥离完成,002868.SZ,33
301057,,301057.SZ,33
003036,固态电池+纺织机器人+高端纺机,003036.SZ,33
001267,CPO硅光模块+英伟达产业链+鄂州投产,001267.SZ,33
603337,人形机器人+AI缝纫机+智能制造+股权转让,603337.SH,17
002857,电网设备+机器人+储能,002857.SZ,33
603773,CPO+商业航天+玻璃基板,603773.SH,17
605098,AI教育+职业教育+回购,605098.SH,17
688031,AI数据库+向量数据库+DeepSeek大模型,688031.SH,17
002843,,002843.SZ,33
600545,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销,600545.SH,17
002952,电子纸+汽车电子+液晶显示,002952.SZ,33
603058,烟标+管制药品+半导体并购预期,603058.SH,17
002339,电网设备+中标+特高压,002339.SZ,33
000555,量子科技+AI金融+银行IT龙头,000555.SZ,33
605268,安全门锁+数据要素+智能制造+华为概念,605268.SH,17
603813,氢能物流+电商物流+ST博弈,603813.SH,22
601179,电网设备+特高压中标+央企,601179.SH,17
002800,航空物流+跨境电商+一带一路,002800.SZ,33
600744,新能源装机+年报预增+央企,600744.SH,17
603838,锆钛矿+陶瓷+摘帽预期,603838.SH,22
002195,脑机接口+AI大模型+人形机器人,002195.SZ,33
000703,PTA+石油化工+化纤+文莱二期,000703.SZ,33
600828,百货零售+REITs调整,600828.SH,17
300162,Micro LED+商业航天+北美市场,300162.SZ,33
002592,业绩预增+汽车热管理+长安供应链,002592.SZ,33
000004,,000004.SZ,33
002512,,002512.SZ,33
601727,可控核聚变+核电装备+上海国资+机器人,601727.SH,17
600516,核电石墨+固态电池+炭素龙头,600516.SH,17
600590,算力电源+军工无人装备+扭亏为盈,600590.SH,17
300072,生物航煤+北京国资+氢能源,300072.SZ,33
002733,算力UPS+氢能+固态电池+储能,002733.SZ,33
002449,MicroLED+AI眼镜+国企,002449.SZ,33
600844,草酸扩产+煤化工,600844.SH,17
300269,商业航天+MicroLED+裸眼3D,300269.SZ,33
000793,重整继续经营+海南文旅+国资入主,000793.SZ,33
002355,低空经济+车联网+钢制车轮,002355.SZ,33
300303,Micro LED+光模块+回购,300303.SZ,33
603688,半导体材料+存储芯片+光纤概念,603688.SH,17
300265,特高压中标+商业航天+光纤光缆,300265.SZ,33
000533,算力基建+干式变压器+北美出口,000533.SZ,33
002913,AI服务器+可转债扩产+汽车电子,002913.SZ,33
600875,燃气轮机+可控核聚变+央企,600875.SH,17
000045,偏光片+OLED+深圳国资,000045.SZ,33
603268,VLCC订单+船舶制造+业绩预增,603268.SH,22
000727,AI显示+MicroLED+央企,000727.SZ,33
002845,显示模组+芯片封测+机器人,002845.SZ,33
300389,LED显示+海外高增+业绩预增,300389.SZ,33
002498,特高压+海上风电+电网设备,002498.SZ,33
603067,铬盐龙头+储能+固态电池+BE合作,603067.SH,17
605298,轨交配套+股权转让+专精特新,605298.SH,17
000509,工业母机+面板+双碳+湖北国资,000509.SZ,33
002429,CPO+MiniLED+深圳国资,002429.SZ,33
300323,Micro LED+AI眼镜+北京国资,300323.SZ,33
300241,MiniLED+光学光电子+车载LED+业绩预增,300241.SZ,33
002559,定增过审+工业母机+智能制造+扬州国资,002559.SZ,33
002587,AI视讯+MicroLED+XR拍摄+业绩预增,002587.SZ,33
300708,MicroLED+MiniLED+全色系芯片,300708.SZ,33
002520,人形机器人+数控螺纹磨床+高端机床,002520.SZ,33
000815,东数西算+数据中心+扭亏为盈+央企,000815.SZ,33
603318,,603318.SH,17
000536,车载显示+福建国资,000536.SZ,33
000920,芯片+盐湖提锂+央企,000920.SZ,33
688079,MicroLED+三星供应链+光学光电子,688079.SH,17
