股票代码,market_code,code,涨停原因类别[20260618]
000016.SZ,33,000016,
000037.SZ,33,000037,
000534.SZ,33,000534,燃气轮机叶片+高温合金+微生态活菌
000539.SZ,33,000539,
000608.SZ,33,000608,商业运营+数字科技+摘帽
000632.SZ,33,000632,
000657.SZ,33,000657,调入深证100+AI PCB钻针+央企
000777.SZ,33,000777,
000811.SZ,33,000811,数据中心液冷+拟收购整合+权益分派+烟台国资
000838.SZ,33,000838,
000839.SZ,33,000839,AI语料+网络安全+央企
000889.SZ,33,000889,算力销售+通信服务+追索7.25亿款项
000911.SZ,33,000911,
001216.SZ,33,001216,氧化锆粉体+齿科材料+高分红+定增完成
001269.SZ,33,001269,
001296.SZ,33,001296,非金属材料+覆膜砂龙头+3D打印
001339.SZ,33,001339,算力+人形机器人+定增募资+一季报增长
001365.SZ,33,001365,人形机器人+储能连接器+汽车线束龙头+广州国资
002068.SZ,33,002068,超级电容+炭黑龙头+超导电炭黑
002141.SZ,33,002141,覆铜板+PCB上游+扭亏为盈
002158.SZ,33,002158,半导体真空泵+AIDC液冷+一季报增长
002159.SZ,33,002159,自然景点+索道+国企改革
002167.SZ,33,002167,锆材料+固态电池+定增
002203.SZ,33,002203,AI散热+铜箔+固态电池+一季报增长
002281.SZ,33,002281,3.2T硅光NPO+CPO+定增+央企
002283.SZ,33,002283,大缸径曲轴+数据中心+机器人+重卡曲轴龙头
002297.SZ,33,002297,硬质合金+商业航天+培育钻石+湖南国资
002317.SZ,33,002317,减肥药+创新药+流感
002323.SZ,33,002323,
002354.SZ,33,002354,3D视觉+具身智能数据集+算力租赁+AI营销
002392.SZ,33,002392,硅碳负极+收购联创锂能+耐火材料+AI芯片
002431.SZ,33,002431,
002432.SZ,33,002432,参股月之暗面+拟投资阶跃星辰+AI医疗
002442.SZ,33,002442,炭黑龙头+绿色低碳
002485.SZ,33,002485,文旅演艺+供应链物流
002491.SZ,33,002491,光纤光缆+产能扩张+数据中心
002547.SZ,33,002547,
002568.SZ,33,002568,
002579.SZ,33,002579,定增通过+PCB+高阶HDI+AIPC
002620.SZ,33,002620,
002634.SZ,33,002634,
002655.SZ,33,002655,激光加工+拟控股浙江镝嘉+车载声学+增持
002667.SZ,33,002667,
002674.SZ,33,002674,机器人电子皮肤+汽车内饰皮革+一季报增长
002713.SZ,33,002713,算力产业+增资子公司+家装AI
002717.SZ,33,002717,
002747.SZ,33,002747,人形机器人+工业机器人出货量第一+具身智能
002789.SZ,33,002789,庭外重组+债务豁免+珠海国资
002805.SZ,33,002805,磷酸铁锂+固态电池+一季报扭亏
002816.SZ,33,002816,摘帽预期+机器人线束+半导体设备+颖泉国资
002842.SZ,33,002842,定增通过+钨全产业链+光伏钨丝+业绩增长
002856.SZ,33,002856,
002859.SZ,33,002859,MLCC离型膜+HVLP铜箔+转债强赎
002897.SZ,33,002897,高速连接器+华为链+液冷散热+CPO
002907.SZ,33,002907,创新药+中成药国际化+仿创结合
002950.SZ,33,002950,医用敷料出口第一+员工持股计划+拟实施分红
002971.SZ,33,002971,电子特气+六氟化钨+减持+大宗气体
002989.SZ,33,002989,FCBGA封装基板+HBM+半导体转型+浙江国资
003031.SZ,33,003031,光通信陶瓷外壳+SiC功率器件+央企
300166.SZ,33,300166,算力租赁+智算中心+AI云平台
300319.SZ,33,300319,英伟达电感+光模块+深圳国资
300411.SZ,33,300411,
300522.SZ,33,300522,电子级碳氢树脂+PCB概念+光刻胶
300861.SZ,33,300861,碳化硅切割+钨丝金刚线+一季报增长
301310.SZ,33,301310,高速铜缆连接+人形机器人线缆+可控核聚变
301580.SZ,33,301580,氧化锆替代+口腔种植医保+外销龙头
301687.SZ,33,301687,PCB+特种膜+新能源材料+国产替代
600076.SH,17,600076,半导体并购+集装箱地板+无锡国资
600162.SH,17,600162,豪宅项目获奖+家居商贸+广州地产
600180.SH,22,600180,
600226.SH,17,600226,铜箔增资+PCB概念+电解铜箔
600259.SH,17,600259,稀土涨价+广东稀土矿+央企+一季报增长
600289.SH,22,600289,
600302.SH,22,600302,
600353.SH,17,600353,氮化铝+可控核聚变+定增受理
600362.SH,17,600362,阴极铜龙头+新材料+中期票据
600381.SH,22,600381,摘帽预期+听花酒+大健康+西部大开发
600392.SH,17,600392,稀土+江阴加华投产+央企+一季报增长
600397.SH,17,600397,钨钽铌并购+磁选装备+江西国资
600399.SH,17,600399,商业航天+军工特钢+不锈钢
600491.SH,22,600491,
600537.SH,22,600537,
600539.SH,17,600539,
600545.SH,17,600545,电子布设备+华为合作+纺织机械
600667.SH,17,600667,HBM后工序+存储芯片+先进封装+无锡国资
600671.SH,17,600671,青岛国资+眼科医疗+中药+年报增长
600769.SH,17,600769,存算基地+供水+武汉国资
600835.SH,17,600835,AI算力供电+人形机器人+电梯+上海国资
600851.SH,17,600851,创新药+APDC三期+医药制造
601010.SH,22,601010,
601991.SH,17,601991,
603001.SH,17,603001,质押解除+皮鞋+C2M+扭亏
603008.SH,22,603008,
603011.SH,17,603011,PCB层压设备+光模块结构件+核聚变概念
603070.SH,17,603070,
603082.SH,17,603082,机器人+智能物流+收购穗柯智能+央企
603124.SH,17,603124,PCB铜基新材料+铜球扩产+液冷散热
603127.SH,17,603127,创新药CRO+实验猴涨价+股权激励
603177.SH,17,603177,大气治理出海+钠离子电池+注册资本减少
603201.SH,17,603201,千斤顶龙头+跨境电商+泰国产能
603211.SH,17,603211,人形机器人+机器人零部件+汽车零部件
603212.SH,17,603212,
603223.SH,17,603223,港口物流+LNG+一季报增长
603261.SH,17,603261,摘帽+航空装备+无人机
603272.SH,22,603272,
603313.SH,17,603313,智能床+美国产能+实控人代偿应收款
603324.SH,17,603324,半导体附属装备+电子化学品+股权激励
603358.SH,17,603358,分红派息+人形机器人+新能源车零部件
603380.SH,17,603380,AI服务器+机器人+海外扩产+EMS
603389.SH,22,603389,锆钛矿选矿+申请摘帽+或资产注入
603407.SH,17,603407,氧氯化锆+陶瓷载板+光通讯+业绩增长
603496.SH,17,603496,算力服务+华为钻石伙伴+中标中国移动
603517.SH,22,603517,
603557.SH,22,603557,童装童鞋+铝业+ST板块
603580.SH,22,603580,摘帽进展+新能源电池配件+扭亏为盈
603595.SH,22,603595,一季报增长+碳化硅+减持落地
603616.SH,17,603616,拟收购PEEK材料+中标水利大单+PCCP管材
