market_code,股票代码,code,涨停原因类别[20260820]
33,002491.SZ,002491,中报扭亏+光纤光缆+光棒扩产
33,300363.SZ,300363,细胞与基因治疗+创新药CDMO+业绩扭亏
33,002579.SZ,002579,PCB+定增获批+算力+光模块
17,600127.SH,600127,粮食安全+粮油加工+大健康食品+湖南国资
17,601877.SH,601877,半年报增长+低压电器+光伏+储能
33,300122.SZ,300122,默沙东代理+mRNA疫苗+GLP-1
33,001360.SZ,001360,黄金开采+矿山装备+高端装备
33,002940.SZ,002940,创新药+仿制药获批+定增过会
17,605116.SH,605116,创新药+司美格鲁肽+集采拟中选
33,002731.SZ,002731,
33,002399.SZ,002399,创新药+依诺肝素制剂+集采中标
33,001277.SZ,001277,煤炭设备后市场+农机+高管增持
33,002880.SZ,002880,血液制品+采浆增长+定增扩产+深圳国资
33,001210.SZ,001210,磁悬浮热泵+新能源供热+数据中心供冷+综合能源
17,603958.SH,603958,苹果产业链+机器人概念+重组+中报预计扭亏
17,605080.SH,605080,露营经济+智能床垫+海外产能
17,603637.SH,603637,控制权拟变更+石化工程+产业转型
33,002811.SZ,002811,MEMS芯片+室内设计+订单高增
33,000710.SZ,000710,AI医疗+基因测序+医疗服务
17,600327.SH,600327,医疗服务+百货零售+回购
17,603392.SH,603392,九价HPV疫苗+出海+创新药
17,603590.SH,603590,创新药+KAT6/7抑制剂+血凝酶龙头
17,601118.SH,601118,天然橡胶龙头+海南自贸区+国企改革
151,920344.BJ,920344,肿瘤疫苗+人干扰素α1b
17,603626.SH,603626,机器人+消费电子+AI散热+中报扭亏
33,002365.SZ,002365,牛磺酸+创新药+中报预增
17,603211.SH,603211,
33,002903.SZ,002903,机器人+消费电子+数控机床
17,688137.SH,688137,肿瘤疫苗+mRNA原料+重组蛋白+CRO
22,603828.SH,603828,ST板块+建筑装饰+装配式装修+光伏建筑一体化
17,688185.SH,688185,mRNA技术+百白破疫苗+创新疫苗
33,000590.SZ,000590,中药+流感
33,300710.SZ,300710,光纤概念+拟收购中控信息+广电网络设备
17,600376.SH,600376,
17,603330.SH,603330,
17,688426.SH,688426,分子诊断+基因测序+肺炎支原体检测
17,600367.SH,600367,
33,300109.SZ,300109,肿瘤疫苗+创新药+PVP龙头
33,000007.SZ,000007,物业管理+汽车销售+医疗器械销售+粤港澳大湾区
17,603578.SH,603578,光伏玻璃+低温储藏玻璃门体
17,688658.SH,688658,siRNA药物+创新药+FDA批准
17,603666.SH,603666,人形机器人+具身智能+华为合作
17,603519.SH,603519,半年报增长+股权转让+第三代半导体+家电复合材料
33,002896.SZ,002896,
33,002552.SZ,002552,覆铜板+黄金+业绩预增+地方国资
33,002437.SZ,002437,创新药+神经退行性疾病+仿制药龙头
17,688276.SH,688276,mRNA疫苗+肿瘤疫苗+鼻喷流感疫苗
17,688433.SH,688433,3D打印+机器人+商业航天+半年报增长
33,002726.SZ,002726,预重整+猪肉+预制菜+半年报减亏
17,603988.SH,603988,实控人涉及黄金开采+电机+风电+储能
33,002248.SZ,002248,
33,003032.SZ,003032,
17,600613.SH,600613,创新药+抗肿瘤+品牌OTC
33,301166.SZ,301166,创新药+抗体+细胞因子蛋白+股份回购
33,300765.SZ,300765,创新药+半年报扭亏+阿斯利康合作
33,000520.SZ,000520,半年报业绩大增+干散货航运+灵便型船
33,002346.SZ,002346,
33,002581.SZ,002581,创新药+神经生长因子+中药饮片
33,002172.SZ,002172,此前炒作生肖+脑机接口+医疗服务+国企改革
17,688356.SH,688356,mRNA癌症疫苗+创新药+聚乙二醇
17,603016.SH,603016,特高压+断路器+国企改革
33,000017.SZ,000017,黄金珠宝+黄金涨价+年报增长
33,300009.SZ,300009,mRNA+创新药+辅助生殖+新药受理
33,002038.SZ,002038,mRNA平台+GLP-1+创新药+国企改革
33,002313.SZ,002313,端侧AI智能模组+机器人+半年报扭亏+珠海国资
33,002743.SZ,002743,预重整+装配式建筑+钢结构
33,003010.SZ,003010,自有品牌高增+宠物经济+中报预增
17,603376.SH,603376,汽车电子+无人驾驶+赛力斯产业链
33,002030.SZ,002030,广药入主+猴痘概念+分子诊断+广州国资
17,603177.SH,603177,钠电池+大气治理+船舶SCR
17,600211.SH,600211,创新药+基因编辑+半年报增长
151,920059.BJ,920059,
17,603882.SH,603882,AI医疗+数据要素+半年报扭亏+回购
17,603716.SH,603716,创新药+高血压疫苗+脑机接口
