market_code,code,股票代码,涨停原因类别[20260421]
22,600421,600421.SH,风电模具+业绩预盈+退市风险
33,002825,002825.SZ,
33,002418,002418.SZ,
33,002982,002982.SZ,黄羽肉鸡+猪肉概念+预制菜
22,600599,600599.SH,退市博弈+烟花爆竹+业绩预盈
17,600736,600736.SH,商业航天+产业园运营+脑机接口+国企
22,600608,600608.SH,
33,300533,300533.SZ,年报扭亏+高分红+游戏+出海
33,002670,002670.SZ,
33,002565,002565.SZ,太空算力+增资轨道辰光+环保包装
33,000715,000715.SZ,百货零售+首店经济+恐龙IP
17,600699,600699.SH,参投光模块公司+人形机器人+汽车电子
33,001268,001268.SZ,成飞概念+拟收购迈特航空+精密零部件+业绩增长
33,002731,002731.SZ,
17,603898,603898.SH,AI智能家居+IP经济+定制家居
33,000539,000539.SZ,算电协同+电力+广东国资
17,600261,600261.SH,氢能装备+LED照明+年报发布+高股息
33,002580,002580.SZ,
33,002338,002338.SZ,年报增长+大股东长春光机所+商业航天+军工电子
17,603030,603030.SH,机器人+先进光源+AI智慧建造+海外布局
33,000980,000980.SZ,汽车整车+子公司复产+高管聘任
17,600961,600961.SH,一季报增长+黄金+铟金属+央企
33,002201,002201.SZ,年报增长+商业航天+玻璃纤维+风电叶片
33,002853,002853.SZ,AI设计+电竞房+群核科技酷家乐+实控人拟变更
17,603115,603115.SH,AI服务器电极箔+储能电极箔+业绩高增+高分红
17,603788,603788.SH,年报增长+高分红+新能源汽车+电子换挡器
33,300123,300123.SZ,
17,603178,603178.SH,机器人关节+低空经济+新能源电驱
33,002289,002289.SZ,IDC并购+算力租赁+液晶显示
22,600696,600696.SH,退市博弈+酱香型白酒+ST板块
33,301022,301022.SZ,拟收购旭域股份+人形机器人+汽车模具
17,688268,688268.SH,氦气涨价+光刻气+国产替代
33,002342,002342.SZ,商业航天+深海系泊+索具龙头+年报扭亏
33,300067,300067.SZ,拟收购烽云信息+算力服务+复牌
17,603272,603272.SH,
33,002952,002952.SZ,电子纸+液晶显示+液晶光阀+外销
33,000609,000609.SZ,半导体资产注入+房地产回款+ST博弈
17,600520,600520.SH,先进封装+半导体设备+合肥国资
17,603016,603016.SH,断路器+特高压+国企改革
22,603813,603813.SH,退市风险博弈+氢能物流+电商物流
17,600396,600396.SH,火电+氢能+央企
17,603815,603815.SH,基建+新型城镇化+地下管网
33,002898,002898.SZ,
33,301486,301486.SZ,并购恒扬数据+光通信+CPO
33,002361,002361.SZ,商业航天+无人机+聚酯树脂+地方国资
17,600715,600715.SH,AI漫剧+影视院线+北京国资
17,600979,600979.SH,电力+液冷服务器+分布式光伏+国企改革
17,600308,600308.SH,造纸+化工涨价+光伏
17,688020,688020.SH,可剥铜+电子铜箔+先进封装+PCB
33,002846,002846.SZ,固态电池+复合集流体+锂金属负极
33,000802,000802.SZ,影视IP+文旅小镇+演出经济
22,600381,600381.SH,高端白酒+虫草龙头+退市博弈
33,000004,000004.SZ,
33,000690,000690.SZ,年报增长+绿电龙头
33,002993,002993.SZ,
33,002586,002586.SZ,
33,002752,002752.SZ,一季报增长+金属包装+越南扩产
33,002620,002620.SZ,重整投资人+光伏建筑一体化+建筑装饰
22,605081,605081.SH,
33,002837,002837.SZ,
17,600678,600678.SH,商业航天+石灰石+太空采矿+国企改革
17,603017,603017.SH,商业航天+低空经济+工程设计
33,003027,003027.SZ,钠电扩产+CCUS+烟气治理
22,600636,600636.SH,AI+教育+ST摘帽博弈+国企改革
22,600193,600193.SH,
33,002081,002081.SZ,商业航天产业配套+半导体洁净室+越南合作+EPC总包
17,605365,605365.SH,机器人+LED照明+泰国基地+北美订单
17,603738,603738.SH,625MHz晶振+光模块+石英晶体+人形机器人
17,600103,600103.SH,光模块+林浆纸+福建国资
17,688661,688661.SH,半导体探针+AMD合作+H股上市+年报扭亏
17,600032,600032.SH,绿电+氢能+浙江国资
22,603843,603843.SH,算力租赁+重整预期+ST板块
17,605298,605298.SH,半导体资产注入猜测+轨交配套+业绩高增
22,600107,600107.SH,ST保壳+储能+服装
22,600243,600243.SH,退市博弈+减速器+电梯配件
33,003018,003018.SZ,液冷产能扩张+瓶盖龙头+饮料供应链
33,000056,000056.SZ,功率半导体+固态电池+商业管理
33,000819,000819.SZ,MOFs材料+茂金属聚烯烃+石油化工+央企
22,600289,600289.SH,
17,603335,603335.SH,锂电池回收+汽车轮毂+年报净利扭亏
17,600734,600734.SH,
33,002950,002950.SZ,医用敷料+AI医疗+三胎+出口第一
17,605178,605178.SH,
33,002528,002528.SZ,
