code,股票代码,market_code,涨停原因类别[20260512]
002491,002491.SZ,33,合资投建+光纤涨价+数据中心+通信电缆
002193,002193.SZ,33,
001259,001259.SZ,33,股份转让+小家电+露营经济
301310,301310.SZ,33,
600076,600076.SH,17,半导体并购+集装箱地板+无锡国资
002840,002840.SZ,33,
002501,002501.SZ,33,军工+汽车铝型材+退市风险
001359,001359.SZ,33,玻纤涨价+云母绝缘+固态电池
600082,600082.SH,22,天津国资+工业地产+利空落地+ST板块
000767,000767.SZ,33,山西最大电力+国企背景
600869,600869.SH,17,算力AI+光纤+商业航天+中标大单
600180,600180.SH,22,
600302,600302.SH,22,控制权变更+缝制设备+机器人概念+西安国资
000601,000601.SZ,33,算电协同+储能+绿电直供
603559,603559.SH,22,摘帽申请+通信工程+扭亏为盈
000909,000909.SZ,33,ST博弈+房地产+杭州国资+智慧交通
000609,000609.SZ,33,
600488,600488.SH,17,甾体激素+原料药出口
002560,002560.SZ,33,特高压线缆+航空零部件+券商上调评级
002522,002522.SZ,33,光纤油膏+POF热收缩膜+一季报增长+常德国资
300004,300004.SZ,33,3D打印+航空航天+核电+佛山国资
002789,002789.SZ,33,珠海国资+储能+建筑装饰
600719,600719.SH,17,热电联产+新能源注入预期+业绩增长+大连国资
605198,605198.SH,17,浓缩果汁龙头+NFC果汁+一带一路出口
002082,002082.SZ,33,
002294,002294.SZ,33,
603007,603007.SH,17,更名+机器人+储能+摘帽
600381,600381.SH,22,申请摘帽+酒水高增+虫草龙头
603211,603211.SH,17,人形机器人+机器人零部件+定增扩产
000950,000950.SZ,33,医药商业+药品获批+央企背景
688496,688496.SH,22,
001211,001211.SZ,33,金钢瓷放量+竹基禾塑托盘+全竹产业链
603061,603061.SH,17,半导体设备+测试分选机+可转债扩产+一季报高增
002431,002431.SZ,33,超跌反弹+不减持+生态园林+河南国资
600818,600818.SH,22,
600735,600735.SH,22,资金占用清偿+石墨新材料+发制品出口
000632,000632.SZ,33,ST反弹+跨境电商+国资背景
300449,300449.SZ,33,GPU大单+算力+数字水印
002175,002175.SZ,33,广西国资拟入主+智能物流+*ST博弈
600678,600678.SH,22,
603688,603688.SH,17,光纤材料+半导体石英+高纯石英砂
300265,300265.SZ,33,光纤光缆+长飞合作+商业航天+特高压
002606,002606.SZ,33,特高压中标+瓷绝缘子龙头+沙特基地
002190,002190.SZ,33,航天+中航工业+飞行汽车
600172,600172.SH,17,重大突破+金刚石散热+培育钻石+半导体
600084,600084.SH,22,葡萄酒+一季报增长+ST反弹
603021,603021.SH,22,日用玻璃+委托贷款+ST博弈
000672,000672.SZ,33,半导体封装基板+创投+水泥
002866,002866.SZ,33,
600667,600667.SH,17,存储芯片+半导体封测+SK海力士+国企
002498,002498.SZ,33,500kV海缆+特高压+海上风电+一季报增长
600537,600537.SH,22,预重整协议+TOPCon电池+ST板块
000007,000007.SZ,33,
002538,002538.SZ,33,
002323,002323.SZ,33,
600730,600730.SH,22,ST投机+AI教育+国资背景
603895,603895.SH,17,人形机器人+固态电池+锂电池装备
002207,002207.SZ,33,ST板块+油气服务+新疆国资
301196,301196.SZ,33,MPO+光纤连接头+机器人+精密模具
603052,603052.SH,17,牛散举牌+硅光芯片+消费电子
000010,000010.SZ,33,庭外重组+算力+市政基建
002552,002552.SZ,33,PCB铜箔+黄金采选+Q1业绩大增
603378,603378.SH,22,ST反弹+退市风险+涂装业务
600759,600759.SH,22,
603269,603269.SH,17,液冷服务器+核电冷却塔+订单高增
002254,002254.SZ,33,光纤+芳纶涂覆+半固态电池+国企
600530,600530.SH,17,保健品+宠物新品+益生菌+养老护理
000677,000677.SZ,33,
000006,000006.SZ,33,地产开发+城中村改造+深圳国资
002693,002693.SZ,33,多肽出口+申请撤销退市风险警示+扭亏为盈
000711,000711.SZ,33,铟靶材+一季度扭亏+摘帽预期
000029,000029.SZ,33,房地产+深圳国资+新房成交激增
002726,002726.SZ,33,
001270,001270.SZ,33,
002428,002428.SZ,33,磷化铟扩产+光纤级锗产品+光伏锗+商业航天
603189,603189.SH,22,低空经济+AI巡检+ST摘帽预期
600370,600370.SH,22,
603682,603682.SH,17,城市更新+出租率修复+轻资产运营
002787,002787.SZ,33,半导体设备+温控设备+并购扩张
000908,000908.SZ,33,石药入主+创新药+摘星
301139,301139.SZ,33,
601010,601010.SH,22,
600722,600722.SH,17,
002102,002102.SZ,33,维生素E+回购注销+国企
603721,603721.SH,22,
002918,002918.SZ,33,建筑陶瓷+地产链+先进陶瓷布局
002289,002289.SZ,33,摘帽申请+一季报暴增+IDC并表+算力租赁
002300,002300.SZ,33,海缆+数据中心+特高压
002346,002346.SZ,33,电网设备+应用于集成电路+锂资源
603203,603203.SH,17,先进封装+TCB设备+AI芯片
603272,603272.SH,22,*ST+墙布+流通盘小+回购
000668,000668.SZ,33,
603813,603813.SH,22,
603037,603037.SH,17,机器人领域探索+聚氨酯材料+拟收购拓盛
600396,600396.SH,17,绿电+央企+火电
600337,600337.SH,22,拟收购万德溙+铜缆高速连接+重整预期+回购延期
300959,300959.SZ,33,股东转让+移动信息服务+数字营销+拼多多概念
603320,603320.SH,17,压缩机电机+空气能热泵+出口增长
002667,002667.SZ,33,
603580,603580.SH,22,年报扭亏+轻型输送带+新能源电池配件
600683,600683.SH,17,拟收购奇芯光电+TOD轨道物业+北京国资
000078,000078.SZ,33,
002856,002856.SZ,33,国资背景+建筑装饰+ST摘帽预期
600187,600187.SH,22,污水处理+退市风险+一季度扭亏
603070,603070.SH,17,数据中心+电气机柜+储能+沙特设厂
002208,002208.SZ,33,间接持有长鑫科技+房地产+合肥国资
000925,000925.SZ,33,磷化铟+算力租赁+商业航天
301197,301197.SZ,33,智慧供热+回购+激励
603398,603398.SH,22,预重整+光伏硅片+ST板块
600745,600745.SH,22,
002081,002081.SZ,33,半导体洁净室+商业航天配套+中标2.32亿
000826,000826.SZ,33,预重整+数字环卫+ST板块
002109,002109.SZ,33,
002514,002514.SZ,33,人形机器人+光伏+智能制造
603959,603959.SH,22,庭外重组+锂电产线+ST板块
000903,000903.SZ,33,
600289,600289.SH,22,
600734,600734.SH,22,智算中心+福建国资+摘帽预期
002199,002199.SZ,33,碳酸锂+石英晶体+申请撤销退市风险警
603331,603331.SH,17,人形机器人+银河通用合作+汽车零部件
000591,000591.SZ,33,算电+光伏+储能+央企
002528,002528.SZ,33,庭外重组+深圳国资+智慧城市+AI安防
603186,603186.SH,17,覆铜板+AI算力+定增扩产
601991,601991.SH,17,蒙电入苏+绿电直供+央企
603557,603557.SH,22,童装童鞋+三胎概念+ST板块+复牌
605287,605287.SH,17,
