涨停原因类别[20260731],market_code,code,股票代码
光模块设备+人形机器人+一季报增长,33,002957,002957.SZ
AI教育+智谱AI+北京国资,33,002659,002659.SZ
算力租赁+机器人+生猪养殖,33,000048,000048.SZ
智慧灯杆+液冷服务器+照明工程,33,002963,002963.SZ
黄金+半年报预增+国企改革,33,000506,000506.SZ
AI电梯+旧梯更新+印度地铁订单,33,002774,002774.SZ
控制权变更+彩票印制+数据确权,33,002235,002235.SZ
人形机器人+丝杠+汽车零部件,17,603009,603009.SH
AI应用+财税SaaS+实控人增持+资产出售,17,603171,603171.SH
收购施美药业+创新药+苏州国资,17,603336,603336.SH
丝杠+中报预增+女鞋,17,603608,603608.SH
灵巧手+人形机器人+工业母机,33,300508,300508.SZ
AI应用+教育AI+智能体,33,003005,003005.SZ
PCB+电子布+半年报,33,001359,001359.SZ
AI电极箔+中报预增+产品涨价+全球龙头,17,603115,603115.SH
电子布织机+固态电池+高端纺机,33,003036,003036.SZ
控制权转让+石化工程+国企,17,603637,603637.SH
举牌+天然气+氢能,33,000593,000593.SZ
智算中心+AI产业基金+上海国资,17,600602,600602.SH
预重整+房地产,33,000838,000838.SZ
智慧停车+AI应用+停车运营服务,151,920130,920130.BJ
存储芯片+定增扩产+扭亏为盈,17,603316,603316.SH
回购+优必选入主+汽车零部件+机器人概念,33,002931,002931.SZ
AI算力+液冷服务器+超跌反弹,17,605289,605289.SH
浓缩果汁+拟跨界覆铜板+双龙头格局,17,605198,605198.SH
回购+人形机器人+低空经济+电驱龙头,17,600580,600580.SH
控股股东拟变更+矿山投资开发+民爆+西藏国资,33,002827,002827.SZ
酒店+国企改革+并购重组预期,33,000428,000428.SZ
AI应用+金融信创+全球化布局,17,603106,603106.SH
商业航天+3D打印+铝挤压模具,33,001400,001400.SZ
算力服务+中药+中报预增,17,603139,603139.SH
人形机器人+电子皮肤+汽车零部件,17,603286,603286.SH
算力租赁+虚拟电厂+超跌反弹,33,002015,002015.SZ
半导体洁净室+AI云平台+央企,33,000032,000032.SZ
AI应用+互动影游+短剧游戏,33,000892,000892.SZ
AI应用+机器人概念+企业软件龙头,17,600588,600588.SH
算力租赁+英伟达合作+中报预增,17,603629,603629.SH
AI应用+AI短剧+半年报减亏,17,603533,603533.SH
AI应用+AI智能硬件+AI漫剧+少儿出版,33,301231,301231.SZ
AI应用+数字营销+多模态AI,17,603598,603598.SH
AI应用+引入战投+PDF软件,17,688095,688095.SH
央企重组+数据中心+水泥,17,600449,600449.SH
AI应用+出海广告+一季报增长,33,300058,300058.SZ
人形机器人+中报预增+伺服系统,33,002979,002979.SZ
存储芯片+先进封装+SK海力士+无锡国资,17,600667,600667.SH
AI短剧+IP资产+海外短剧,33,300364,300364.SZ
回购+增持+算力服务+制冷剂,17,600673,600673.SH
控股股东增持完成+风光储+扣非扭亏+宁夏国资,33,000595,000595.SZ
AI应用+出海营销+AI Drive 2.0,33,301171,301171.SZ
具身智能数据集+3D视觉+算力租赁+AI营销,33,002354,002354.SZ
存储芯片+拟收购嘉合劲威+照明工程,17,605178,605178.SH
AI智算+算力调度+集成吊顶,17,605318,605318.SH
