涨停原因类别[20260819],股票代码,market_code,code
,002491.SZ,33,002491
,002957.SZ,33,002957
,003031.SZ,33,003031
粮食安全+粮油加工+湖南国资,600127.SH,17,600127
,603118.SH,17,603118
,603179.SH,17,603179
,000936.SZ,33,000936
,603009.SH,17,603009
,002141.SZ,33,002141
,002565.SZ,33,002565
创新药+瑞香素+化学制药,301130.SZ,33,301130
,603124.SH,17,603124
,002409.SZ,33,002409
,603256.SH,17,603256
,603663.SH,17,603663
,002731.SZ,33,002731
,603608.SH,17,603608
,001260.SZ,33,001260
,002229.SZ,33,002229
,002636.SZ,33,002636
,001331.SZ,33,001331
,600397.SH,17,600397
,002008.SZ,33,002008
,603079.SH,17,603079
煤炭设备后市场+农机+海外布局+高管增持,001277.SZ,33,001277
,603728.SH,17,603728
,603887.SH,17,603887
,603757.SH,17,603757
,002329.SZ,33,002329
创新药+化学制药+中报预计减亏,002900.SZ,33,002900
,603065.SH,17,603065
,002792.SZ,33,002792
,000678.SZ,33,000678
,003043.SZ,33,003043
转基因+粮食概念+玉米种业,600371.SH,17,600371
,002067.SZ,33,002067
,002342.SZ,33,002342
,603790.SH,17,603790
,605589.SH,17,605589
,603989.SH,17,603989
,002931.SZ,33,002931
,605289.SH,17,605289
石墨烯导热膜+煤化工+石墨矿,601011.SH,17,601011
,002980.SZ,33,002980
,000938.SZ,33,000938
,600580.SH,17,600580
,002577.SZ,33,002577
商业航天+3D打印+铝挤压模具+液冷,001400.SZ,33,001400
,000802.SZ,33,000802
,603211.SH,17,603211
,603061.SH,17,603061
,600183.SH,17,600183
,000977.SZ,33,000977
,000547.SZ,33,000547
,002156.SZ,33,002156
,605189.SH,17,605189
,600353.SH,17,600353
,002965.SZ,33,002965
,002747.SZ,33,002747
,002303.SZ,33,002303
参股蓝箭航天+创投+机器人+山东国资,600783.SH,17,600783
,600376.SH,17,600376
,603330.SH,17,603330
,605288.SH,17,605288
,002897.SZ,33,002897
,001258.SZ,33,001258
焦炭+氢能全产业链+中报预计减亏,000723.SZ,33,000723
,002979.SZ,33,002979
,600829.SH,17,600829
,603083.SH,17,603083
粮食概念+油脂加工+国企改革,000505.SZ,33,000505
,002272.SZ,33,002272
创新药+布洛芬+原料药,301211.SZ,33,301211
负极材料+半年报+产能扩张,001301.SZ,33,001301
商业航天+特高压绝缘子+并购重组,300069.SZ,33,300069
,600186.SH,17,600186
中报扣非净利增长+储能+厨卫电器,603366.SH,17,603366
,002436.SZ,33,002436
,002484.SZ,33,002484
原油中转+国企+业绩增长,002040.SZ,33,002040
,002937.SZ,33,002937
,600113.SH,17,600113
,603052.SH,17,603052
,002396.SZ,33,002396
,002896.SZ,33,002896
IGBT+SiC+功率半导体+低空经济,603290.SH,17,603290
,603601.SH,17,603601
季戊四醇+业绩增长+央企,600610.SH,17,600610
,002080.SZ,33,002080
,603618.SH,17,603618
,603137.SH,17,603137
,603880.SH,17,603880
房产经纪+长租公寓+AI应用,000560.SZ,33,000560
,003021.SZ,33,003021
物业服务+机器人+业绩增长,603506.SH,17,603506
,605376.SH,17,605376
,002703.SZ,33,002703
,000837.SZ,33,000837
拟投资+光纤预制棒+机器人电缆+通信装备组件,002953.SZ,33,002953
,603667.SH,17,603667
算力大单+算力中心+集成灶,300911.SZ,33,300911
,600246.SH,17,600246
,603166.SH,17,603166
,002248.SZ,33,002248
粮食概念+麦芽+啤酒+国企,001338.SZ,33,001338
,000700.SZ,33,000700
,002031.SZ,33,002031
,002402.SZ,33,002402
,600105.SH,17,600105
,603119.SH,17,603119
,603089.SH,17,603089
,603739.SH,17,603739
,603767.SH,17,603767
,603228.SH,17,603228
,603897.SH,17,603897
热泵+厨卫电器+海外布局,002543.SZ,33,002543
,002281.SZ,33,002281
,601869.SH,17,601869
,603221.SH,17,603221
新疆煤化工项目+复合肥+央企,603395.SH,17,603395
,002743.SZ,33,002743
,603758.SH,17,603758
,603678.SH,17,603678
,000636.SZ,33,000636
半年报增长+智能家居+智能晾晒,603848.SH,17,603848
煤炭+焦炭+煤矿投产,601015.SH,17,601015
要约收购+钨锡铅锌矿+碳酸锂+ST板块,002667.SZ,33,002667
,600683.SH,17,600683
轻资产运营+物业服务+数据中心+中交房地产控股,000736.SZ,33,000736
,002724.SZ,33,002724
石化+化肥+央企+半年报预增,000059.SZ,33,000059
创新药+中药+中报预增,002412.SZ,33,002412
,603319.SH,17,603319
,605179.SH,17,605179
,002582.SZ,33,002582
焦炭+炭黑+化工涨价,603113.SH,17,603113
,002851.SZ,33,002851
拟收购盟萤科技+检测业务+铝型材,002333.SZ,33,002333
,002081.SZ,33,002081
,603285.SH,17,603285
煤炭+河南国资,600403.SH,17,600403
,603738.SH,17,603738
,605598.SH,17,605598
显示器+深圳旧改+物业管理,000020.SZ,33,000020
半年报增长+职业教育+个性化教育,000526.SZ,33,000526
,002859.SZ,33,002859
定制家居+整家一体化+老房焕新+海外业务,603801.SH,17,603801
宠物经济+营养保健食品+半年报营收增长,603102.SH,17,603102
,000716.SZ,33,000716
,605488.SH,17,605488
,002520.SZ,33,002520
,002975.SZ,33,002975
,002820.SZ,33,002820
,000815.SZ,33,000815
,603031.SH,17,603031
,600151.SH,17,600151
