code,股票代码,market_code,所属同花顺行业
301196,301196.SZ,33,基础化工-塑料制品-其他塑料制品
300265,300265.SZ,33,电力设备-电网设备-线缆部件及其他
300959,300959.SZ,33,通信-通信服务-通信应用增值服务
301197,301197.SZ,33,机械设备-通用设备-仪器仪表
300449,300449.SZ,33,计算机-计算机设备-安防设备
300004,300004.SZ,33,机械设备-专用设备-其他专用设备
920274,920274.BJ,151,轻工制造-包装印刷-包装
301531,301531.SZ,33,有色金属-金属新材料-磁性材料
688300,688300.SH,17,基础化工-非金属材料-非金属材料Ⅲ
688037,688037.SH,17,电子-半导体-半导体设备
920200,920200.BJ,151,电力设备-风电设备-风电零部件
300292,300292.SZ,33,通信-通信服务-通信应用增值服务
300720,300720.SZ,33,机械设备-通用设备-仪器仪表
300133,300133.SZ,33,传媒-影视院线-影视院线Ⅲ
300903,300903.SZ,33,电子-元件-印制电路板
300626,300626.SZ,33,电力设备-电机-电机Ⅲ
920179,920179.BJ,151,电子-半导体-半导体材料
300632,300632.SZ,33,电子-光学光电子-LED
688120,688120.SH,17,电子-半导体-半导体设备
300736,300736.SZ,33,电子-其他电子-其他电子Ⅲ
300395,300395.SZ,33,国防军工-军工装备-航空装备
688663,688663.SH,17,电力设备-电网设备-电气自控设备
300209,300209.SZ,33,商贸零售-互联网电商-互联网电商Ⅲ
688693,688693.SH,17,电子-半导体-分立器件
301392,301392.SZ,33,机械设备-专用设备-其他专用设备
300829,300829.SZ,33,基础化工-化学制品-食品及饲料添加剂
300264,300264.SZ,33,计算机-IT服务-IT服务Ⅲ
301095,301095.SZ,33,计算机-软件开发-垂直应用软件
301183,301183.SZ,33,电子-光学光电子-光学元件
920046,920046.BJ,151,电力设备-电网设备-输变电设备
600076,600076.SH,17,轻工制造-包装印刷-包装
600530,600530.SH,17,食品饮料-食品加工制造-其他食品
603007,603007.SH,17,汽车-汽车零部件-底盘与发动机系统
002081,002081.SZ,33,建筑装饰-建筑装饰-装饰园林
000601,000601.SZ,33,公用事业-电力-水电
920028,920028.BJ,151,基础化工-塑料制品-其他塑料制品
600719,600719.SH,17,公用事业-电力-热力
600667,600667.SH,17,建筑装饰-建筑装饰-工程咨询服务
603070,603070.SH,17,电力设备-电网设备-输变电设备
600683,600683.SH,17,房地产-房地产-住宅开发
603269,603269.SH,17,机械设备-通用设备-其他通用设备
000925,000925.SZ,33,机械设备-轨交设备-轨交设备Ⅲ
600172,600172.SH,17,机械设备-通用设备-磨具磨料
002208,002208.SZ,33,房地产-房地产-住宅开发
601991,601991.SH,17,公用事业-电力-火电
000950,000950.SZ,33,医药生物-医药商业-医药流通
600396,600396.SH,17,公用事业-电力-火电
603682,603682.SH,17,商贸零售-零售-商业物业经营
603203,603203.SH,17,机械设备-自动化设备-工控设备
000029,000029.SZ,33,房地产-房地产-住宅开发
