股票代码,code,market_code,所属同花顺行业
300505.SZ,300505,33,基础化工-农化制品-磷肥及磷化工
301373.SZ,301373,33,基础化工-化学制品-其他化学制品
688432.SH,688432,17,电子-半导体-半导体材料
301100.SZ,301100,33,基础化工-化学制品-其他化学制品
300658.SZ,300658,33,美容护理-美容护理-个护用品
688661.SH,688661,17,电子-消费电子-消费电子零部件及组装
300788.SZ,300788,33,传媒-文化传媒-出版
300821.SZ,300821,33,基础化工-化学制品-有机硅
300437.SZ,300437,33,基础化工-化学制品-其他化学制品
300395.SZ,300395,33,国防军工-军工装备-航空装备
688125.SH,688125,17,机械设备-自动化设备-工控设备
300739.SZ,300739,33,电子-元件-印制电路板
688031.SH,688031,17,计算机-软件开发-横向通用软件
688480.SH,688480,17,环保-环境治理-综合环境治理
688308.SH,688308,17,机械设备-通用设备-金属制品
300257.SZ,300257,33,机械设备-通用设备-其他通用设备
300539.SZ,300539,33,基础化工-塑料制品-其他塑料制品
300164.SZ,300164,33,石油石化-油气开采及服务-油服工程
300567.SZ,300567,33,机械设备-通用设备-仪器仪表
300737.SZ,300737,33,建筑材料-建筑材料-其他建材
688146.SH,688146,17,电子-电子化学品-电子化学品Ⅲ
300618.SZ,300618,33,有色金属-能源金属-钴
300617.SZ,300617,33,电力设备-电网设备-输变电设备
300720.SZ,300720,33,机械设备-通用设备-仪器仪表
688409.SH,688409,17,电子-半导体-半导体设备
300774.SZ,300774,33,环保-环境治理-水务及水治理
688556.SH,688556,17,电力设备-光伏设备-光伏加工设备
301377.SZ,301377,33,机械设备-通用设备-金属制品
300301.SZ,300301,33,电子-光学光电子-LED
300814.SZ,300814,33,电子-元件-印制电路板
688818.SH,688818,17,国防军工-军工装备-航天装备
300666.SZ,300666,33,电子-半导体-半导体材料
688199.SH,688199,17,基础化工-化学制品-其他化学制品
301511.SZ,301511,33,电力设备-电池-锂电池
688549.SH,688549,17,电子-电子化学品-电子化学品Ⅲ
920090.BJ,920090,151,计算机-计算机设备-其他计算机设备
002021.SZ,002021,33,机械设备-专用设备-纺织服装设备
600010.SH,600010,17,钢铁-钢铁-普钢
301278.SZ,301278,33,电力设备-光伏设备-光伏电池组件
600545.SH,600545,17,机械设备-专用设备-纺织服装设备
000816.SZ,000816,33,机械设备-通用设备-其他通用设备
600227.SH,600227,17,基础化工-农化制品-氮肥
002498.SZ,002498,33,电力设备-电网设备-线缆部件及其他
000056.SZ,000056,33,商贸零售-零售-商业物业经营
000826.SZ,000826,33,环保-环境治理-综合环境治理
600337.SH,600337,17,轻工制造-家居用品-成品家居
600884.SH,600884,17,电子-光学光电子-面板
000593.SZ,000593,33,公用事业-燃气-燃气Ⅲ
601068.SH,601068,17,建筑装饰-建筑装饰-专业工程
000560.SZ,000560,33,房地产-房地产-房地产服务
002348.SZ,002348,33,轻工制造-家居用品-文娱用品
