code,market_code,股票代码,所属同花顺行业
603468,17,603468.SH,汽车-汽车服务及其他-其他运输设备
301251,33,301251.SZ,电子-元件-印制电路板
688693,17,688693.SH,电子-半导体-分立器件
300903,33,300903.SZ,电子-元件-印制电路板
300540,33,300540.SZ,机械设备-专用设备-其他专用设备
688549,17,688549.SH,电子-电子化学品-电子化学品Ⅲ
300711,33,300711.SZ,通信-通信设备-其他通信设备
300615,33,300615.SZ,通信-通信设备-通信终端及配件
300386,33,300386.SZ,计算机-计算机设备-其他计算机设备
300311,33,300311.SZ,计算机-软件开发-横向通用软件
920087,151,920087.BJ,农林牧渔-种植业与林业-种子生产
301007,33,301007.SZ,汽车-汽车零部件-底盘与发动机系统
300134,33,300134.SZ,通信-通信设备-通信网络设备及器件
920924,151,920924.BJ,通信-通信服务-通信工程及服务
688432,17,688432.SH,电子-半导体-半导体材料
688530,17,688530.SH,电子-半导体-半导体材料
300887,33,300887.SZ,社会服务-其他社会服务-专业服务
300518,33,300518.SZ,商贸零售-互联网电商-互联网电商Ⅲ
300720,33,300720.SZ,机械设备-通用设备-仪器仪表
300897,33,300897.SZ,机械设备-通用设备-仪器仪表
920943,151,920943.BJ,机械设备-通用设备-金属制品
688090,17,688090.SH,机械设备-自动化设备-机器人
688727,17,688727.SH,电子-半导体-半导体材料
688290,17,688290.SH,机械设备-自动化设备-机器人
688702,17,688702.SH,电子-半导体-数字芯片设计
300283,33,300283.SZ,电力设备-电网设备-输变电设备
300847,33,300847.SZ,计算机-计算机设备-其他计算机设备
920961,151,920961.BJ,机械设备-通用设备-仪器仪表
688503,17,688503.SH,电力设备-光伏设备-光伏辅材
688026,17,688026.SH,医药生物-医疗器械-医疗耗材
300489,33,300489.SZ,电子-光学光电子-光学元件
300084,33,300084.SZ,机械设备-专用设备-能源及重型设备
301319,33,301319.SZ,电子-电子化学品-电子化学品Ⅲ
300689,33,300689.SZ,通信-通信设备-通信终端及配件
300051,33,300051.SZ,电力设备-光伏设备-光伏电池组件
000839,33,000839.SZ,通信-通信服务-通信应用增值服务
300546,33,300546.SZ,计算机-计算机设备-其他计算机设备
000692,33,000692.SZ,公用事业-电力-热力
002721,33,002721.SZ,纺织服饰-服装家纺-饰品
300937,33,300937.SZ,医药生物-医药商业-医药流通
600892,17,600892.SH,传媒-游戏-游戏Ⅲ
002425,33,002425.SZ,传媒-游戏-游戏Ⅲ
000720,33,000720.SZ,电力设备-电网设备-线缆部件及其他
002376,33,002376.SZ,计算机-计算机设备-其他计算机设备
002485,33,002485.SZ,交通运输-物流-物流Ⅲ
688433,17,688433.SH,机械设备-通用设备-其他通用设备
603123,17,603123.SH,非银金融-多元金融-多元金融Ⅲ
002686,33,002686.SZ,机械设备-通用设备-制冷空调设备
002052,33,002052.SZ,电力设备-其他电源设备-其他电源设备Ⅲ
002667,33,002667.SZ,有色金属-能源金属-锂
002649,33,002649.SZ,计算机-IT服务-IT服务Ⅲ
